section,category,description,date,metric,value
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,Acute Care Hospital Beds in Use,6343
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,Percent of Acute Care Hospital Beds in Use,0.74
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-17,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,ICU Hospital Beds in Use,1215
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,Acute Care Hospital Beds in Use,6672
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-18,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,ICU Hospital Beds in Use,1259
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,Acute Care Hospital Beds in Use,6812
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,Percent of Acute Care Hospital Beds in Use,0.8
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-19,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,ICU Hospital Beds in Use,1273
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,Acute Care Hospital Beds in Use,6741
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-20,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,ICU Hospital Beds in Use,1291
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,Percent of ICU Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,Acute Care Hospital Beds in Use,6816
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,Percent of Acute Care Hospital Beds in Use,0.8
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-21,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,ICU Hospital Beds in Use,1273
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,Acute Care Hospital Beds in Use,6674
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-22,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,ICU Hospital Beds in Use,1263
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,Total ICU Hospital Beds,1834
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,Acute Care Hospital Beds in Use,6547
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,Total Acute Care Hospital Beds,8540
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-23,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,ICU Hospital Beds in Use,1250
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,Total ICU Hospital Beds,1833
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,7-Day Average of Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,Acute Care Hospital Beds in Use,6323
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,Total Acute Care Hospital Beds,8544
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,Percent of Acute Care Hospital Beds in Use,0.74
Hospital Data,Hospital Level,Hospital Bed Use,2020-08-24,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Adult Critical Care Ventilators in Use,565
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Total Adult Critical Care Ventilators,1758
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Percent of Adult Critical Care Ventilators in Use,0.32
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Pediatric Critical Care Ventilators in Use,142
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Total Pediatric Critical Care Ventilators,353
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Adult Critical Care Ventilators in Use,573
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Total Adult Critical Care Ventilators,1708
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Pediatric Critical Care Ventilators in Use,144
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Total Pediatric Critical Care Ventilators,358
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Adult Critical Care Ventilators in Use,564
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Total Adult Critical Care Ventilators,1679
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Pediatric Critical Care Ventilators in Use,142
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Total Pediatric Critical Care Ventilators,360
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Adult Critical Care Ventilators in Use,555
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Total Adult Critical Care Ventilators,1702
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Pediatric Critical Care Ventilators in Use,144
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Total Pediatric Critical Care Ventilators,359
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Adult Critical Care Ventilators in Use,555
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Total Adult Critical Care Ventilators,1732
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Percent of Adult Critical Care Ventilators in Use,0.32
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Pediatric Critical Care Ventilators in Use,90
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Total Pediatric Critical Care Ventilators,265
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Adult Critical Care Ventilators in Use,497
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Total Adult Critical Care Ventilators,1683
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Percent of Adult Critical Care Ventilators in Use,0.3
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Pediatric Critical Care Ventilators in Use,89
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Total Pediatric Critical Care Ventilators,261
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Adult Critical Care Ventilators in Use,491
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Total Adult Critical Care Ventilators,1440
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Pediatric Critical Care Ventilators in Use,84
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Total Pediatric Critical Care Ventilators,270
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Percent of Pediatric Critical Care Ventilators in Use,0.31
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.37
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Adult Critical Care Ventilators in Use,483
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Total Adult Critical Care Ventilators,1344
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Pediatric Critical Care Ventilators in Use,83
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Total Pediatric Critical Care Ventilators,246
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Adult Critical Care Ventilators in Use,463
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Total Adult Critical Care Ventilators,1185
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Total Pediatric Critical Care Ventilators,241
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Percent of Pediatric Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Adult Critical Care Ventilators in Use,464
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Total Pediatric Critical Care Ventilators,231
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Adult Critical Care Ventilators in Use,469
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Total Adult Critical Care Ventilators,1135
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Pediatric Critical Care Ventilators in Use,79
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Total Pediatric Critical Care Ventilators,232
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Adult Critical Care Ventilators in Use,471
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Total Adult Critical Care Ventilators,1128
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Percent of Adult Critical Care Ventilators in Use,0.42
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.37
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Total Pediatric Critical Care Ventilators,229
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Adult Critical Care Ventilators in Use,439
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Total Adult Critical Care Ventilators,1144
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Percent of Adult Critical Care Ventilators in Use,0.38
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Pediatric Critical Care Ventilators in Use,91
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Total Pediatric Critical Care Ventilators,231
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Adult Critical Care Ventilators in Use,453
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Pediatric Critical Care Ventilators in Use,81
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Total Pediatric Critical Care Ventilators,231
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Adult Critical Care Ventilators in Use,453
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Total Adult Critical Care Ventilators,1143
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Total Pediatric Critical Care Ventilators,232
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Adult Critical Care Ventilators in Use,462
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Total Adult Critical Care Ventilators,1120
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Adult Critical Care Ventilators in Use,464
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Total Adult Critical Care Ventilators,1121
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Pediatric Critical Care Ventilators in Use,82
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Total Pediatric Critical Care Ventilators,204
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.37
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Adult Critical Care Ventilators in Use,444
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Total Adult Critical Care Ventilators,1115
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Total Pediatric Critical Care Ventilators,193
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.38
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Adult Critical Care Ventilators in Use,419
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Total Adult Critical Care Ventilators,1117
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Percent of Adult Critical Care Ventilators in Use,0.38
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Pediatric Critical Care Ventilators in Use,82
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Percent of Pediatric Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,Adult Critical Care Ventilators in Use,429
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,Total Adult Critical Care Ventilators,1090
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-24,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,Adult Critical Care Ventilators in Use,436
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,Total Adult Critical Care Ventilators,1089
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-25,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,Adult Critical Care Ventilators in Use,451
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,Total Adult Critical Care Ventilators,1086
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,Percent of Adult Critical Care Ventilators in Use,0.42
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,Pediatric Critical Care Ventilators in Use,79
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-26,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,Adult Critical Care Ventilators in Use,428
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,Total Adult Critical Care Ventilators,1101
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,Pediatric Critical Care Ventilators in Use,82
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,Percent of Pediatric Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-27,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,Adult Critical Care Ventilators in Use,423
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,Total Adult Critical Care Ventilators,1085
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,Pediatric Critical Care Ventilators in Use,82
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,Percent of Pediatric Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-28,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,Adult Critical Care Ventilators in Use,426
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,Total Adult Critical Care Ventilators,1085
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,Pediatric Critical Care Ventilators in Use,82
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,Percent of Pediatric Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-29,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,Adult Critical Care Ventilators in Use,429
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,Total Adult Critical Care Ventilators,1086
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-30,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-05-01,Adult Critical Care Ventilators in Use,422
Hospital Data,Hospital Level,Ventilator Use,2020-05-01,Total Adult Critical Care Ventilators,1076
Hospital Data,Hospital Level,Ventilator Use,2020-05-01,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-05-01,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
